2026-05-15 19:39:23 [INFO] [API] GET /notifications/unread-count 304 1ms user=2
2026-05-15 19:39:23 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:39:53 [INFO] [API] GET /notifications/unread-count 304 1ms user=2
2026-05-15 19:39:53 [INFO] [API] GET /friend-requests 304 0ms user=2
2026-05-15 19:40:23 [INFO] [API] GET /notifications/unread-count 304 1ms user=2
2026-05-15 19:40:23 [INFO] [API] GET /friend-requests 304 0ms user=2
2026-05-15 19:40:53 [INFO] [API] GET /notifications/unread-count 304 1ms user=2
2026-05-15 19:40:53 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:41:23 [INFO] [API] GET /notifications/unread-count 304 1ms user=2
2026-05-15 19:41:23 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:41:26 [INFO] Portfolio app running at http://localhost:3000
2026-05-15 19:41:26 [INFO] Default admin account: admin / admin123
2026-05-15 19:41:29 [INFO] [API] POST /login 200 80ms user=1
2026-05-15 19:41:53 [INFO] [API] GET /notifications/unread-count 304 4ms user=2
2026-05-15 19:41:53 [INFO] [API] GET /friend-requests 304 2ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /music/songs 304 2ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /sound 304 3ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /me 304 2ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /zone-access/work 304 2ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /zone-access/chat 304 2ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /zone-access/music 304 3ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /notifications/unread-count 304 3ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /zone-access/music 304 1ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /notifications/unread-count 304 1ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /zone-access/music 304 1ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /admin/levels/config 304 2ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /music/songs 304 4ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /notifications/unread-count 304 3ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /zone-access/music 304 3ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /levels/me 304 4ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /friend-requests 304 3ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /music/playlists 304 1ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /music/stream/b0f640c1-5b03-448e-9042-b66c6e2abd6e.ogg 206 5ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /friend-requests 304 0ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /music/songs 304 1ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /sound 304 2ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /me 304 2ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /zone-access/work 304 3ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /zone-access/chat 304 3ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /zone-access/music 304 3ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /notifications/unread-count 304 3ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /zone-access/music 304 1ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /notifications/unread-count 304 1ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /zone-access/music 304 1ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /admin/levels/config 304 2ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /music/songs 304 3ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /notifications/unread-count 304 2ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /zone-access/music 304 4ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /levels/me 304 2ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /music/playlists 304 1ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /friend-requests 304 1ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /music/stream/b0f640c1-5b03-448e-9042-b66c6e2abd6e.ogg 206 34ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /music/songs 304 1ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /sound 304 1ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /me 304 1ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /zone-access/work 304 2ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /zone-access/chat 304 2ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /zone-access/music 304 3ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /notifications/unread-count 304 3ms user=2
2026-05-15 19:41:56 [INFO] [API] GET /zone-access/music 304 1ms user=2
